fos,income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
International Business,Upper middle income,U30,5,3.74,3.64,3.63,3.83,0.0,3.48,3.58,3.67,0.0
Computer Science,Lower middle income,U30,6,3.11,3.0,3.75,4.0,0.0,3.25,3.18,3.59,0.0
Structural Engineering,Lower middle income,G45,5.2,3.0,2.75,2.75,0.0,0.0,3.18,3.13,0.0,0.0
Information Management,Upper middle income,U30,5.4,3.72,3.75,4.0,4.0,0.0,3.54,3.75,3.9,0.0
Information Management,Upper middle income,U30,4.9,2.39,3.13,2.88,3.5,0.0,3.25,3.28,3.4,0.0
International Business,Upper middle income,U30,6,3.85,3.93,3.64,0.0,0.0,3.6,3.75,0.0,0.0
Construction Engineering and Infrastructure Management,High income,u37,5.5,3.07,3.63,3.0,0.0,0.0,3.53,3.56,0.0,0.0
Water Engineering and Management,Lower middle income,U30,4.7,3.0,3.31,3.63,4.0,0.0,3.46,3.41,3.55,0.0
Water Engineering and Management,Lower middle income,U30,5.6,4.0,3.27,3.63,4.0,0.0,3.2,3.51,3.67,0.0
Telecommunications,Upper middle income,u37,5.3,2.93,2.63,2.88,3.0,3.13,3.16,3.13,3.33,3.2
Design and Manufacturing Engineering,Upper middle income,u37,5.2,3.29,2.88,2.5,3.25,0.0,3.2,3.18,3.3,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,4.8,3.51,3.88,3.88,0.0,0.0,3.47,3.72,0.0,0.0
Industrial Engineering & Management,Upper middle income,U30,5.5,2.54,3.25,3.88,3.5,0.0,3.35,3.49,3.69,0.0
Management of Technology,Upper middle income,U30,5.8,3.1,3.71,3.79,0.0,0.0,3.65,3.66,0.0,0.0
Management of Technology,Lower middle income,u37,5.8,3.0,3.36,3.5,3.67,0.0,3.46,3.51,3.54,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,5,3.61,3.5,3.77,0.0,0.0,3.43,3.53,0.0,0.0
Gender and Development Studies,Lower middle income,U30,5.5,2.28,2.94,3.29,0.0,0.0,3.18,3.15,0.0,0.0
Water Engineering and Management,Lower middle income,U30,5.9,4.0,3.08,3.75,4.0,0.0,3.35,3.2,3.62,0.0
Industrial Engineering & Management,Upper middle income,U30,5.6,3.61,3.88,3.88,3.5,0.0,3.53,3.79,3.93,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U30,6.5,3.0,3.73,3.88,4.0,0.0,3.74,3.69,3.89,0.0
International Business,Lower middle income,u37,6.2,2.75,3.71,3.59,0.0,0.0,3.57,3.61,0.0,0.0
Information Management,Lower middle income,U30,5.8,3.5,3.13,2.75,4.0,4.0,3.17,3.25,3.43,3.47
International Business,Lower middle income,u37,6.3,4.0,3.57,3.43,0.0,0.0,3.46,3.54,0.0,0.0
Gender and Development Studies,Lower middle income,u37,5.6,3.5,2.93,3.39,0.0,0.0,3.25,3.19,0.0,0.0
Urban Environmental Management,Lower middle income,U44,6,3.39,3.89,4.0,0.0,0.0,3.54,3.78,0.0,0.0
Industrial Engineering & Management,Upper middle income,u37,5.8,3.07,3.63,3.38,3.75,0.0,3.63,3.6,3.67,0.0
International Business,Upper middle income,U30,4.5,3.04,3.36,3.42,3.63,0.0,3.49,3.5,3.53,0.0
Transportation Engineering,Upper middle income,U25,4.8,2.97,3.25,3.25,0.0,0.0,3.5,3.35,0.0,0.0
