income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Upper middle income,U30,5,3.74,3.64,3.63,3.83,0.0,3.41,3.54,3.68,0.0
Lower middle income,U30,6,3.11,3.0,3.75,4.0,0.0,3.41,3.22,3.49,0.0
Lower middle income,G45,5.2,3.0,2.75,2.75,0.0,0.0,3.41,3.18,0.0,0.0
Upper middle income,U30,5.4,3.72,3.75,4.0,4.0,0.0,3.41,3.73,3.85,0.0
Upper middle income,U30,4.9,2.39,3.13,2.88,3.5,0.0,3.41,3.27,3.48,0.0
Upper middle income,U30,6,3.85,3.93,3.64,0.0,0.0,3.41,3.75,0.0,0.0
High income,u37,5.5,3.07,3.63,3.0,0.0,0.0,3.41,3.57,0.0,0.0
Lower middle income,U30,4.7,3.0,3.31,3.63,4.0,0.0,3.41,3.34,3.53,0.0
Lower middle income,U30,5.6,4.0,3.27,3.63,4.0,0.0,3.41,3.35,3.66,0.0
Upper middle income,u37,5.3,2.93,2.63,2.88,3.0,3.13,3.41,3.18,3.43,3.5
Upper middle income,u37,5.2,3.29,2.88,2.5,3.25,0.0,3.41,3.2,3.43,0.0
Upper middle income,U30,4.8,3.51,3.88,3.88,0.0,0.0,3.41,3.7,0.0,0.0
Upper middle income,U30,5.5,2.54,3.25,3.88,3.5,0.0,3.41,3.37,3.69,0.0
Upper middle income,U30,5.8,3.1,3.71,3.79,0.0,0.0,3.41,3.63,0.0,0.0
Lower middle income,u37,5.8,3.0,3.36,3.5,3.67,0.0,3.41,3.41,3.5,0.0
Upper middle income,U30,5,3.61,3.5,3.77,0.0,0.0,3.41,3.46,0.0,0.0
Lower middle income,U30,5.5,2.28,2.94,3.29,0.0,0.0,3.41,3.2,0.0,0.0
Lower middle income,U30,5.9,4.0,3.08,3.75,4.0,0.0,3.41,3.21,3.57,0.0
Upper middle income,U30,5.6,3.61,3.88,3.88,3.5,0.0,3.41,3.75,3.89,0.0
Lower middle income,U30,6.5,3.0,3.73,3.88,4.0,0.0,3.41,3.63,3.79,0.0
Lower middle income,u37,6.2,2.75,3.71,3.59,0.0,0.0,3.41,3.55,0.0,0.0
Lower middle income,U30,5.8,3.5,3.13,2.75,4.0,4.0,3.41,3.26,3.47,3.5
Lower middle income,u37,6.3,4.0,3.57,3.43,0.0,0.0,3.41,3.48,0.0,0.0
Lower middle income,u37,5.6,3.5,2.93,3.39,0.0,0.0,3.41,3.23,0.0,0.0
Lower middle income,U44,6,3.39,3.89,4.0,0.0,0.0,3.41,3.76,0.0,0.0
Upper middle income,u37,5.8,3.07,3.63,3.38,3.75,0.0,3.41,3.59,3.69,0.0
Upper middle income,U30,4.5,3.04,3.36,3.42,3.63,0.0,3.41,3.42,3.54,0.0
Upper middle income,U25,4.8,2.97,3.25,3.25,0.0,0.0,3.41,3.28,0.0,0.0
Lower middle income,U30,6.6,3.09,3.75,4.0,4.0,0.0,3.41,3.69,3.8,0.0
Upper middle income,u37,5.6,3.19,4.0,4.0,0.0,0.0,3.41,3.85,0.0,0.0
Upper middle income,U30,5,3.4,4.0,3.88,0.0,0.0,3.41,3.81,0.0,0.0
Lower middle income,U30,5.5,4.0,3.88,3.71,4.0,0.0,3.41,3.77,3.9,0.0
Upper middle income,u37,4.5,2.89,2.9,2.75,0.0,0.0,3.41,3.13,0.0,0.0
Upper middle income,U30,5,3.19,3.5,3.13,4.0,0.0,3.41,3.46,3.6,0.0
Lower middle income,u37,6,2.9,3.63,3.88,0.0,0.0,3.41,3.59,0.0,0.0
Upper middle income,U30,5.2,2.86,3.71,3.6,3.75,0.0,3.41,3.67,3.66,0.0
Upper middle income,u37,4.4,3.67,3.36,3.21,3.5,0.0,3.41,3.44,3.52,0.0
Upper middle income,U30,5.3,3.2,3.5,3.69,0.0,0.0,3.41,3.52,0.0,0.0
Upper middle income,U30,5.8,3.61,3.35,3.77,0.0,0.0,3.41,3.4,0.0,0.0
Lower middle income,U30,5,3.0,3.42,3.27,0.0,0.0,3.41,3.39,0.0,0.0
Lower middle income,u37,5.4,4.0,3.65,3.77,0.0,0.0,3.41,3.62,0.0,0.0
Low income,u37,6,3.5,3.88,3.86,0.0,0.0,3.41,3.8,0.0,0.0
Low income,u37,6,3.5,4.0,4.0,0.0,0.0,3.41,3.89,0.0,0.0
Lower middle income,U30,4.6,3.5,3.0,2.89,0.0,0.0,3.41,3.03,0.0,0.0
Lower middle income,u37,5.5,3.0,3.11,3.39,0.0,0.0,3.41,3.25,0.0,0.0
Lower middle income,u37,4,3.0,3.0,3.42,3.5,0.0,3.41,3.2,3.43,0.0
Low income,u37,5.8,3.0,3.25,3.75,0.0,0.0,3.41,3.39,0.0,0.0
Upper middle income,U30,5.3,2.87,3.88,4.0,0.0,0.0,3.41,3.78,0.0,0.0
Upper middle income,U30,4.6,3.11,3.36,3.77,0.0,0.0,3.41,3.4,0.0,0.0
Lower middle income,u37,5.5,3.0,3.42,3.73,0.0,0.0,3.41,3.44,0.0,0.0
Upper middle income,U30,5.4,3.44,3.67,3.7,0.0,0.0,3.41,3.66,0.0,0.0
Upper middle income,U25,4.8,3.06,4.0,3.88,0.0,0.0,3.41,3.78,0.0,0.0
Lower middle income,U30,5.5,2.84,3.5,3.88,0.0,0.0,3.41,3.52,0.0,0.0
Lower middle income,U44,5.5,3.0,2.79,2.86,3.63,0.0,3.41,3.21,3.43,0.0
Upper middle income,U30,4.6,3.19,3.71,3.63,3.5,0.0,3.41,3.64,3.73,0.0
Lower middle income,U44,6.2,3.0,3.83,3.86,0.0,0.0,3.41,3.73,0.0,0.0
Upper middle income,U30,5.2,3.44,3.71,3.83,4.0,0.0,3.41,3.65,3.72,0.0
Lower middle income,U30,7.5,4.0,3.64,3.71,0.0,0.0,3.41,3.57,0.0,0.0
Lower middle income,u37,2.8,4.0,3.5,3.0,3.5,0.0,3.41,3.51,3.47,0.0
Low income,U30,6.2,3.5,3.13,3.38,4.0,0.0,3.41,3.33,3.58,0.0
Lower middle income,U30,5.3,3.75,4.0,4.0,0.0,0.0,3.41,3.86,0.0,0.0
Lower middle income,U30,6,3.82,3.5,3.5,0.0,0.0,3.41,3.49,0.0,0.0
Lower middle income,u37,5.6,3.0,3.31,3.29,3.4,0.0,3.41,3.38,3.47,0.0
Lower middle income,U25,5.8,4.0,3.5,3.25,3.17,0.0,3.41,3.42,3.53,0.0
Upper middle income,U30,5.1,3.25,3.13,3.63,4.0,0.0,3.41,3.29,3.53,0.0
Upper middle income,U30,5,2.36,3.63,3.88,0.0,0.0,3.41,3.56,0.0,0.0
Upper middle income,U30,5.5,2.15,3.88,3.63,3.0,0.0,3.41,3.74,3.85,0.0
Upper middle income,U30,4.8,2.98,2.38,3.13,3.0,3.25,3.41,3.18,3.42,3.5
Upper middle income,U25,5.6,3.75,3.9,3.67,4.0,0.0,3.41,3.8,3.98,0.0
Lower middle income,U30,6.2,3.5,2.88,3.33,3.75,0.0,3.41,3.2,3.45,0.0
Lower middle income,U30,6.5,3.0,3.14,3.19,0.0,0.0,3.41,3.24,0.0,0.0
Upper middle income,U30,4,2.9,3.71,3.65,3.29,0.0,3.41,3.66,3.55,0.0
Upper middle income,G45,5.6,2.67,3.57,3.86,3.33,0.0,3.41,3.59,3.53,0.0
Upper middle income,U30,5.8,3.68,3.86,3.86,0.0,0.0,3.41,3.7,0.0,0.0
Lower middle income,u37,6,4.0,3.63,3.88,3.75,0.0,3.41,3.56,3.62,0.0
Upper middle income,U30,5.7,3.74,3.5,4.0,4.0,0.0,3.41,3.53,3.71,0.0
Low income,U30,6,3.5,3.38,3.5,0.0,0.0,3.41,3.48,0.0,0.0
