"25.0","F","S","Thailand","5","Thammasat University, Thailand","3.74","Accounting","MBA","International Business",,"MASTER","3.64","14.0","T/R + C","3.63","15.0","T/R + C","3.83","9.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.68","38.0"
"27.0","M","S","India","6","Assumption University, Thailand","3.11","Computer","CSE","Computer Science",,"MASTER","3.0","12.0","T/R + C","3.75","12.0","T/R + C","4.0","5.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.44","29.0"
"45.0","F","S","Myanmar","5.2","Yangon Institute of Technology, Myanmar","4.85","Civil Engineering","CIVIL","Structural Engineering",,"MASTER","2.75","12.0","T/R + C","2.75","12.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"2.75","24.0"
"27.0","F","S","Thailand","5.4","University of Oklahoma, Norman, USA","3.72","Computer","CSE","Information Management",,"MASTER","3.75","12.0","T/R + C","4.0","11.0","T/R + C","4.0","6.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.89","29.0"
"25.0","M","S","Thailand","4.9","King Mongkut's Institute of Tech., Ladkrabang,Thailand","2.39","Telecom.","ELEC","Information Management",,"MASTER","3.13","12.0","T/R + C","2.88","12.0","T/R + C","3.5","5.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.06","29.0"
"28.0","F","S","Thailand","6","Chulalongkorn University, Thailand","3.85","Bangking & Finance","MBA","International Business",,"MASTER","3.93","14.0","T/R + C","3.64","14.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.79","28.0"
"35.0","F","S","Japan","5.5","Osaka Institute of Technology, Japan","3.07","Architecture","GEN","Construction, Engineering and Infrastructure Management",,"MASTER","3.63","12.0","T/R + C","3.0","14.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.31","26.0"
"28.0","M","S","Vietnam","4.7","Hanoi Water Resources Engineering Institute","7.63","Hydraulic Engineering","CIVIL","Water Engineering and Management",,"MASTER","3.31","13.0","T/R + C","3.63","12.0","T/R + C","4.0","3.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.48","28.0"
"26.0","F","S","India","5.6","Kerala Agricultural University, India","8.03","Agricultural Engineering","ENV","Water Engineering and Management",,"MASTER","3.27","13.0","T/R + C","3.63","12.0","T/R + C","4.0","3.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.46","28.0"
"30.0","M","S","Thailand","5.3","Srinakharinwirot University, Bangkok, Thailand","2.93","Electrical","ELEC","Telecommunications",,"MASTER","2.63","12.0","T/R + C","2.88","12.0","T/R + C","3.0","3.0","T/R + C","3.13","12.0",,,,,,,,,,,,,,,,,"2.88","39.0"
"30.0","M","S","Thailand","5.2","Royal Thai Air Force Academy, Thailand","3.29","Industrial","ISE","Design and Manufacturing Engineering",,"MASTER","2.88","12.0","T/R + C","2.5","9.0","T/R + C","3.25","6.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"2.83","27.0"
"26.0","F","S","Thailand","4.8","Kasetsart University, Thailand","3.51","Food Science & Technology","RES","Food Engineering and Bioprocess Technology",,"MASTER","3.88","12.0","T/R + C","3.88","12.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.88","24.0"
"28.0","M","S","Thailand","5.5","Mahidol University, Thailand","2.54","Chemical Engineering","LAB","Industrial Engineering & Management",,"MASTER","3.25","12.0","T/R + C","3.88","12.0","T/R + C","3.5","3.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.56","27.0"
"26.0","F","S","Thailand","5.8","King Mongkut's Institute of Tech., Ladkrabang,Thailand","3.10","Control Engineering","MECH","Management of Technology",,"MASTER","3.71","14.0","T/R + C","3.79","14.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.75","28.0"
"31.0","M","S","Myanmar","5.8","Yangon Technological University, Myanmar","4.44","Electronic","ELEC","Management of Technology",,"MASTER","3.36","14.0","T/R + C","3.5","14.0","T/R + C","3.67","9.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.49","37.0"
"25.0","M","S","Thailand","5","Mahidol University, Nakornpathom, Thailand","3.61","Civil Engineering","CIVIL","Geotechnical and Geoenvironmental Engineering",,"MASTER","3.5","13.0","T/R + C","3.77","13.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.63","26.0"
"26.0","F","S","Lao PDR","5.5","The Lao American College","2.28","English & Business Studies","LANG","Gender and Development Studies",,"MASTER","2.94","14.5","T/R + C","3.29","10.5","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.09","25.0"
"26.0","F","S","India","5.9","Kerala Agricultural University, India","8.04","Agricultural Eng.","ENV","Water Engineering and Management",,"MASTER","3.08","13.0","T/R + C","3.75","14.0","T/R + C","4.0","1.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.42","28.0"
"25.0","F","S","Thailand","5.6","Chiang Mai University, Thailand","3.61","Industrial Engineering","ISE","Industrial Engineering & Management",,"MASTER","3.88","12.0","T/R + C","3.88","12.0","T/R + C","3.5","3.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.83","27.0"
"29.0","F","S","Philippines","6.5","University of the Philippines Visayas, Iloilo","2.37","Marine Biology","RES","Aquaculture and Aquatic Resources Management",,"MASTER","3.73","12.0","T/R + C","3.88","13.0","T/R + C","4.0","2.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.82","27.0"
"31.0","M","S","Bhutan","6.2","University of Delhi, India","57%","Economics, Statistics","MBA","International Business",,"MASTER","3.71","14.0","T/R + C","3.59","17.0","T/R","0.0","0.0","T/R","0.0","0.0",,,,,,,,,,,,,,,,,"3.65","31.0"
